"Name","State","Notes","User","Tags","Created","Runtime","Sweep","dropout","input_shape","learning_rate","method","metric.goal","metric.name","neurons_FC1","neurons_FC2","num_classes","optimizer_name","parameters.learning_rate.distribution","parameters.learning_rate.max","parameters.learning_rate.min","parameters.num_classes.distribution","parameters.num_classes.max","parameters.num_classes.min","program","weight_decay","epoch","global_step","test_acc","test_loss","train_acc_epoch","train_acc_step","train_loss_epoch","train_loss_step","trainer/global_step","val_acc","val_loss"
"giddy-sweep-27","finished","-","","","2025-10-21T09:30:16.000Z","131","9su24eg8","0","[3,32,32]","0.0016492440401271165","","","","512","128","10","adam","","","","","","","","0.0001","5","7035","0.7290999889373779","0.8039170503616333","0.7789999842643738","0.78125","0.6362459063529968","0.9277458190917968","7035","0.7440000176429749","0.7580062747001648"
"amber-sweep-26","finished","-","","","2025-10-21T09:27:53.000Z","130","9su24eg8","0","[3,32,32]","0.0010828936161948945","","","","512","128","5","adam","","","","","","","","0.0001","5","7035","0.723800003528595","0.7996560335159302","0.7820444703102112","0.75","0.6213999390602112","0.6927231550216675","7035","0.7179999947547913","0.7991268634796143"
"fiery-sweep-25","finished","-","","","2025-10-21T09:25:39.000Z","131","9su24eg8","0","[3,32,32]","0.0015099189983825362","","","","512","128","14","adam","","","","","","","","0.0001","5","7035","0.729200005531311","0.7859970331192017","0.7835777997970581","0.6875","0.6138502955436707","0.7110093832015991","7035","0.7336000204086304","0.7669654488563538"
"vocal-sweep-24","finished","-","","","2025-10-21T09:23:25.000Z","130","9su24eg8","0","[3,32,32]","0.0007689518738900267","","","","512","128","8","adam","","","","","","","","0.0001","5","7035","0.7053999900817871","0.8451928496360779","0.7573778033256531","0.8125","0.6921676993370056","0.7794995307922363","7035","0.7157999873161316","0.8281714916229248"
"peachy-sweep-23","finished","-","","","2025-10-21T09:21:16.000Z","127","9su24eg8","0","[3,32,32]","0.0009479873770196568","","","","512","128","14","adam","","","","","","","","0.0001","5","7035","0.739300012588501","0.7596309781074524","0.7762888669967651","0.84375","0.643398106098175","0.5891448259353638","7035","0.7329999804496765","0.7579895257949829"
"fresh-sweep-22","finished","-","","","2025-10-21T09:19:07.000Z","128","9su24eg8","0","[3,32,32]","0.0005500468395989999","","","","512","128","17","adam","","","","","","","","0.0001","5","7035","0.7354999780654907","0.7856923341751099","0.7951777577400208","0.84375","0.5859847664833069","0.3752586245536804","7035","0.7301999926567078","0.7960077524185181"
"atomic-sweep-21","finished","-","","","2025-10-21T09:16:58.000Z","128","9su24eg8","0","[3,32,32]","0.001180343850759627","","","","512","128","12","adam","","","","","","","","0.0001","5","7035","0.715399980545044","0.8353418111801147","0.7803778052330017","0.8125","0.6244208216667175","0.3984441757202149","7035","0.7261999845504761","0.8279663920402527"
"spring-sweep-20","finished","-","","","2025-10-21T09:14:49.000Z","127","9su24eg8","0","[3,32,32]","0.001768060100457059","","","","512","128","16","adam","","","","","","","","0.0001","5","7035","0.7240999937057495","0.8105907440185547","0.768666684627533","0.78125","0.658653974533081","0.5805962681770325","7035","0.7200000286102295","0.8078402876853943"
"robust-sweep-19","finished","-","","","2025-10-21T09:12:40.000Z","127","9su24eg8","0","[3,32,32]","0.001141340051991093","","","","512","128","11","adam","","","","","","","","0.0001","5","7035","0.7099000215530396","0.85834139585495","0.7659111022949219","0.6875","0.6609899401664734","0.7535215616226196","7035","0.7210000157356262","0.8275590538978577"
"still-sweep-18","finished","-","","","2025-10-21T09:10:21.000Z","138","9su24eg8","0","[3,32,32]","0.001768153298440418","","","","512","128","10","adam","","","","","","","","0.0001","5","7035","0.7315000295639038","0.7861676812171936","0.7751555442810059","0.71875","0.64496248960495","0.8982191681861877","7035","0.7310000061988831","0.7801871299743652"
